date,bones_nobones,url,weekday,month,weekend,display_date
2021-11-19,No bones,https://www.tiktok.com/@jongraz/video/7032301423278738694,Friday,November,False,Nov. 19 
2021-11-18,Bones!,https://www.tiktok.com/@jongraz/video/7031918628782017798,Thursday,November,False,Nov. 18 
2021-11-16,Bones!,https://www.tiktok.com/@jongraz/video/7031187804289912069,Tuesday,November,False,Nov. 16 
2021-11-15,Bones!,https://www.tiktok.com/@jongraz/video/7030808551417236741,Monday,November,False,Nov. 15 
2021-11-12,No bones,https://www.tiktok.com/@jongraz/video/7029702975224417541,Friday,November,False,Nov. 12 
2021-11-11,No bones,https://www.tiktok.com/@jongraz/video/7029337289553693958,Thursday,November,False,Nov. 11 
2021-11-09,Bones!,https://www.tiktok.com/@jongraz/video/7028597285869128966,Tuesday,November,False,Nov. 9 
2021-11-08,Bones!,https://www.tiktok.com/@jongraz/video/7028212495621934342,Monday,November,False,Nov. 8 
2021-11-07,No bones,https://www.tiktok.com/@jongraz/video/7027831943009930502,Sunday,November,True,Nov. 7 
2021-11-05,Bones!,https://www.tiktok.com/@jongraz/video/7027092093080325382,Friday,November,False,Nov. 5 
2021-11-04,Bones!,https://www.tiktok.com/@jongraz/video/7026722598096538886,Thursday,November,False,Nov. 4 
2021-11-03,Bones!,https://www.tiktok.com/@jongraz/video/7026343071839276294,Wednesday,November,False,Nov. 3 
2021-11-02,No bones,https://www.tiktok.com/@jongraz/video/7025988024450223366,Tuesday,November,False,Nov. 2 
2021-11-01,No bones,https://www.tiktok.com/@jongraz/video/7025602864663907590,Monday,November,False,Nov. 1 
2021-10-31,Bones!,https://www.tiktok.com/@jongraz/video/7025224724321946885,Sunday,October,True,Oct. 31 
2021-10-28,Bones!,https://www.tiktok.com/@jongraz/video/7024110833995205893,Thursday,October,False,Oct. 28 
2021-10-26,No bones,https://www.tiktok.com/@jongraz/video/7023371588124921093,Tuesday,October,False,Oct. 26 
2021-10-25,Bones!,https://www.tiktok.com/@jongraz/video/7023004798215539973,Monday,October,False,Oct. 25 
2021-10-23,Bones!,https://www.tiktok.com/@jongraz/video/7022251358833118469,Saturday,October,True,Oct. 23 
2021-10-22,No bones,https://www.tiktok.com/@jongraz/video/7021895192559111430,Friday,October,False,Oct. 22 
2021-10-21,No bones,https://www.tiktok.com/@jongraz/video/7021511892824820997,Thursday,October,False,Oct. 21 
2021-10-20,Bones!,https://www.tiktok.com/@jongraz/video/7021172359386172678,Wednesday,October,False,Oct. 20 
2021-10-19,No bones,https://www.tiktok.com/@jongraz/video/7020772470017887494,Tuesday,October,False,Oct. 19 
2021-10-18,Bones!,https://www.tiktok.com/@jongraz/video/7020411242749758725,Monday,October,False,Oct. 18 
2021-10-17,No bones,https://www.tiktok.com/@jongraz/video/7020027193216503046,Sunday,October,True,Oct. 17 
2021-10-16,Bones!,https://www.tiktok.com/@jongraz/video/7019702064829697285,Saturday,October,True,Oct. 16 
2021-10-15,Bones!,https://www.tiktok.com/@jongraz/video/7019298458678856965,Friday,October,False,Oct. 15 
2021-10-14,No bones,https://www.tiktok.com/@jongraz/video/7018925390118784262,Thursday,October,False,Oct. 14 
2021-10-13,No bones,https://www.tiktok.com/@jongraz/video/7018544878183320837,Wednesday,October,False,Oct. 13 
2021-10-11,Bones!,https://www.tiktok.com/@jongraz/video/7017803606308965637,Monday,October,False,Oct. 11 
2021-10-09,No bones,https://www.tiktok.com/@jongraz/video/7017075369505213702,Saturday,October,True,Oct. 9 
2021-10-07,Bones!,https://www.tiktok.com/@jongraz/video/7016326380820401414,Thursday,October,False,Oct. 7 
2021-10-04,No bones,https://www.tiktok.com/@jongraz/video/7015223171011857670,Monday,October,False,Oct. 4 
2021-10-01,Bones!,https://www.tiktok.com/@jongraz/video/7014096448493079814,Friday,October,False,Oct. 1 
2021-09-29,No bones,https://www.tiktok.com/@jongraz/video/7013363016121044229,Wednesday,September,False,Sep. 29 
2021-09-22,No bones,https://www.tiktok.com/@jongraz/video/7010754857476885766,Wednesday,September,False,Sep. 22 
2021-09-14,Bones!,https://www.tiktok.com/@jongraz/video/7007786296059940101,Tuesday,September,False,Sep. 14 
2021-09-05,No bones,https://www.tiktok.com/@jongraz/video/7004453353946189062,Sunday,September,True,Sep. 5 
2021-08-21,No bones,https://www.tiktok.com/@jongraz/video/6998871742793993478,Saturday,August,True,Aug. 21 
2021-08-13,No bones,https://www.tiktok.com/@jongraz/video/6995925135182056709,Friday,August,False,Aug. 13 
2021-03-11,No bones,https://www.tiktok.com/@jongraz/video/6938547829673626885,Thursday,March,False,Mar. 11 
