user_name,video_id,video_desc,video_time,video_duration,n_shares,n_likes,n_comments,n_plays,video_link
jongraz,7084645369166007598,I need to do better and I know that,1649522542,5,672,108000,493,537600,https://www.tiktok.com/@jongraz/video/7084645369166007598?lang=en
jongraz,7083933087230364970,he gets what he wants or else you know?,1649356701,20,3811,198100,2014,940100,https://www.tiktok.com/@jongraz/video/7083933087230364970?lang=en
jongraz,7083871650818641198,beached and unbothered,1649342397,15,1895,68300,878,335500,https://www.tiktok.com/@jongraz/video/7083871650818641198?lang=en
jongraz,7083512291534064942,Reply to @skeetorooni 😑 these kind of hurt you know???,1649258727,15,54,51200,2115,552900,https://www.tiktok.com/@jongraz/video/7083512291534064942?lang=en
jongraz,7083510146164362539,mariah bell 2020 nationals free skate to be exact,1649258228,9,521,59600,779,541600,https://www.tiktok.com/@jongraz/video/7083510146164362539?lang=en
jongraz,7083169293772557614,noodle why,1649178868,8,1229,245700,588,1200000,https://www.tiktok.com/@jongraz/video/7083169293772557614?lang=en
jongraz,7083127893210991915,another day another glaring truth,1649169228,30,1523,54700,556,270900,https://www.tiktok.com/@jongraz/video/7083127893210991915?lang=en
jongraz,7082753026284506414,he leaves no room for doubt,1649081948,34,1993,59900,1101,273600,https://www.tiktok.com/@jongraz/video/7082753026284506414?lang=en
jongraz,7082013088244895019,now venture forth and have the best weekend! 🦴🔮🦴,1648909667,20,2269,102500,1093,525000,https://www.tiktok.com/@jongraz/video/7082013088244895019?lang=en
jongraz,7081623062868856110,it’s his world and we’re all just here too 🔮🦴🔮,1648818858,56,34400,1000000,6675,4400000,https://www.tiktok.com/@jongraz/video/7081623062868856110?lang=en
jongraz,7081257158863523114,there you have it 🔮🦴🔮,1648733664,15,6079,470400,3286,2300000,https://www.tiktok.com/@jongraz/video/7081257158863523114?lang=en
jongraz,7080582736393637162,"to be fair, the sun spot is prime real estate and noodle doesn’t make compromises",1648576637,49,2243,123700,1156,677300,https://www.tiktok.com/@jongraz/video/7080582736393637162?lang=en
jongraz,7080149790763535662,he has words for you this morning,1648475835,56,7300,337600,2861,2100000,https://www.tiktok.com/@jongraz/video/7080149790763535662?lang=en
jongraz,7079791417463262510,“what have i brought upon our house papa?” #noodletok #yeoldenoodle #sundayfunday,1648392393,30,2119,83400,1140,441500,https://www.tiktok.com/@jongraz/video/7079791417463262510?lang=en
jongraz,7078757651211046190,thank you everyone who has already submitted a design or is planning to! noodle is a muse to us all! 😊 #noodletok #muse,1648151701,58,27,10400,67,172400,https://www.tiktok.com/@jongraz/video/7078757651211046190?lang=en
jongraz,7078674283207085358,okay you heard him! now go PERSERVERE 🔮🦴🔮 #noodletok #pug,1648132291,44,1749,65000,677,355600,https://www.tiktok.com/@jongraz/video/7078674283207085358?lang=en
jongraz,7078455364185853226,#greenscreen #nationalpuppyday #noodletok,1648081319,15,1410,116800,667,612300,https://www.tiktok.com/@jongraz/video/7078455364185853226?lang=en
