weekstart,n_likes
2021-08-09,436600
2021-08-16,0
2021-08-30,0
2021-09-13,0
2021-09-20,0
2021-09-27,0
2021-10-04,5911900
2021-10-11,6350400
2021-10-18,11567500
2021-10-25,5000000
2021-11-01,3727300
2021-11-08,1937400
2021-11-15,1493200
2021-11-22,1703500
2021-11-29,1091100
2021-12-06,1006600
2021-12-13,658400
2021-12-20,851800
2021-12-27,475600
2022-01-03,249000
2022-01-10,382800
2022-01-17,266900
2022-01-24,71600
2022-02-21,408000
2022-02-28,38500
2022-03-07,447600
2022-03-14,207700
2022-03-21,167600
2022-03-28,1572900
2022-04-04,123000
